#,tree#,Subplot #<E-W>,Subplot #<S-N>,X (E-W) (m),Y (S-N) (m),Species,DBH_2010 (cm),TreeHeight_2010 (m),Canopy projection (cm)_2010_N,Canopy projection (cm)_2010_W,Canopy projection (cm)_2010_S,Canopy projection (cm)_2010_E,Lowest foliage height_2010 (m),DBH2014 (cm),TreeHeight_2014 (m)
216,J217,1,2,9.3,17.34,Picea mariana,3,2.61,NA,NA,NA,NA,NA,3.5,2.73
217,J218,1,2,8.9,17.54,Picea mariana,0.4,1.36,NA,NA,NA,NA,NA,0.3,1.31
218,J219,1,2,8.9,17.69,Picea mariana,NA,1.35,NA,NA,NA,NA,NA,0.7,1.31
219,J220,1,2,9.7,17.74,Picea mariana,1.2,1.56,NA,NA,NA,NA,NA,1.9,1.65
220,J221,1,2,9,18.43,Picea mariana,1.1,1.51,NA,NA,NA,NA,NA,1.4,1.57
221,J222,1,2,8.7,18.89,Picea mariana,0.9,1.59,NA,NA,NA,NA,NA,1.1,1.43
222,J223,1,2,8.5,19.17,Picea mariana,1.3,1.61,NA,NA,NA,NA,NA,1.6,1.7
223,J224,1,2,6.1,19.37,Picea mariana,NA,1.31,NA,NA,NA,NA,NA,NA,1.32
224,J225,1,2,5.7,19.01,Picea mariana,1.1,1.51,NA,NA,NA,NA,NA,1.5,1.57
225,J226,1,2,4.2,18.81,Picea mariana,0.8,1.48,NA,NA,NA,NA,NA,0.9,1.57
226,J227,1,2,2.7,17.82,Picea mariana,8.6,6.3,NA,NA,NA,NA,NA,8.2,6.5
227,J228,1,2,3.1,19.29,Picea mariana,5.6,5,NA,NA,NA,NA,NA,5.9,5.3
228,J229,1,2,1.5,18.18,Picea mariana,3.7,3.02,NA,NA,NA,NA,NA,3.6,3.56
229,J230,1,3,0.5,20.2,Picea mariana,3.2,3.2,NA,NA,NA,NA,NA,3.4,3.43
230,J231,1,3,0.7,20.2,Picea mariana,4.3,4.52,NA,NA,NA,NA,NA,4,4.51
231,J232,1,3,3.4,21.17,Picea mariana,5.7,4.5,NA,NA,NA,NA,NA,5.8,4.98
232,J233,1,3,4.4,20.25,Picea mariana,6,5.5,40,46,47,34,0.6,6.7,5.8
233,J234,1,3,7.4,20.46,Picea mariana,3.2,3.1,NA,NA,NA,NA,NA,3.2,3.07
234,J235,1,3,8.4,20.81,Picea mariana,0.9,1.6,NA,NA,NA,NA,NA,1.1,1.65
235,J236,1,3,9.1,20.69,Picea mariana,3.3,3.2,NA,NA,NA,NA,NA,3.5,3.33
236,J237,1,3,8.6,22.54,Picea mariana,2.2,2.69,NA,NA,NA,NA,NA,2.8,2.73
237,J238,1,3,8.5,22.44,Picea mariana,2.3,2.39,NA,NA,NA,NA,NA,2.4,2.18
238,J239,1,3,7.3,21.91,Picea mariana,2.5,2.72,NA,NA,NA,NA,NA,2.7,2.83
239,J240,1,3,6.8,21.42,Picea mariana,3.4,3.25,NA,NA,NA,NA,NA,3.5,3.28
240,J241,1,3,4.4,23.05,Picea mariana,1.9,2.17,NA,NA,NA,NA,NA,2,2.24
241,J242,1,3,3.8,22.92,Picea mariana,2,2.16,NA,NA,NA,NA,NA,2.4,2.2
242,J243,1,3,3.3,23,Picea mariana,0.8,1.44,NA,NA,NA,NA,NA,0.9,1.45
243,J244,1,3,3.1,22.9,Picea mariana,1,1.59,NA,NA,NA,NA,NA,1.2,1.63
244,J245,1,3,2.3,23.25,Picea mariana,2.4,2.43,NA,NA,NA,NA,NA,2.5,2.54
245,J246,1,3,2.2,22.84,Picea mariana,NA,1.35,NA,NA,NA,NA,NA,NA,1.37
246,J247,1,3,1.6,22.26,Picea mariana,6.7,5.8,NA,NA,NA,NA,NA,6.8,5.85
247,J248,1,3,0.1,22.41,Picea mariana,3.2,2.62,NA,NA,NA,NA,NA,3.5,2.83
248,J249,1,3,2,25,Picea mariana,1.8,1.83,NA,NA,NA,NA,NA,2,2.01
249,J250,1,3,4.3,25.1,Picea mariana,3,2.53,NA,NA,NA,NA,NA,2.7,2.68
250,J251,1,3,5.4,24.72,Picea mariana,2,2.07,NA,NA,NA,NA,NA,2.6,2.17
251,J252,1,3,5.3,23.94,Picea mariana,1,1.51,NA,NA,NA,NA,NA,1.1,1.49
252,J253,1,3,7.5,24.09,Picea mariana,2.8,3.04,NA,NA,NA,NA,NA,3.3,3.18
253,J254,1,3,8.5,24.95,Picea mariana,3,3.14,NA,NA,NA,NA,NA,3.3,3.15
254,J255,1,3,8.7,24.62,Picea mariana,2.1,2.1,NA,NA,NA,NA,NA,2.3,2.22
255,J256,1,3,7.5,25.48,Picea mariana,2.2,2.3,NA,NA,NA,NA,NA,2.5,2.48
256,J257,1,3,8.2,26.65,Picea mariana,1,1.61,NA,NA,NA,NA,NA,1.4,1.69
257,J258,1,3,7.1,27.18,Picea mariana,2.3,2.35,NA,NA,NA,NA,NA,2.6,2.54
