Year;Month;Day;Hour;Minute;Tair;RH;Prec;Snowdepth
2013;1;7;23;0;-12.90000;89.00000;0.00000;0.51000
2013;1;7;23;30;-12.90000;89.00000;0.00000;0.51000
2013;1;8;0;0;-12.60000;90.00000;0.00000;0.51000
2013;1;8;0;30;-12.60000;90.00000;0.00000;0.51000
2013;1;8;1;0;-11.80000;90.00000;0.00000;0.51000
2013;1;8;1;30;-11.90000;90.00000;0.00000;0.51000
2013;1;8;2;0;-11.70000;91.00000;0.00000;0.51000
2013;1;8;2;30;-11.60000;91.00000;0.00000;NaN
2013;1;8;3;0;-11.40000;90.00000;0.00000;0.51000
2013;1;8;3;30;-11.50000;90.00000;0.00000;0.51000
2013;1;8;4;0;-11.20000;91.00000;0.00000;0.51000
2013;1;8;4;30;-10.70000;92.00000;0.00000;0.51000
2013;1;8;5;0;-9.00000;93.00000;0.00000;0.51000
2013;1;8;5;30;-8.50000;93.00000;0.00000;0.51000
2013;1;8;6;0;-8.60000;92.00000;0.00000;0.51000
2013;1;8;6;30;-8.90000;92.00000;0.00000;0.51000
2013;1;8;7;0;-9.10000;92.00000;0.00000;0.51000
2013;1;8;7;30;-9.20000;92.00000;0.00000;0.51000
2013;1;8;8;0;-9.00000;93.00000;0.00000;0.51000
2013;1;8;8;30;-9.10000;92.00000;0.00000;0.51000
2013;1;8;9;0;-9.10000;92.00000;0.00000;0.51000
2013;1;8;9;30;-9.40000;92.00000;0.00000;0.50000
2013;1;8;10;0;-9.80000;91.00000;0.00000;0.50000
2013;1;8;10;30;-10.20000;91.00000;0.00000;0.51000
2013;1;8;11;0;-10.70000;90.00000;0.00000;0.50000
2013;1;8;11;30;-11.10000;90.00000;0.00000;0.51000
2013;1;8;12;0;-8.80000;94.00000;0.00000;0.51000
2013;1;8;12;30;-8.60000;93.00000;0.00000;0.51000
2013;1;8;13;0;-8.90000;93.00000;0.00000;0.51000
2013;1;8;13;30;-8.40000;94.00000;0.00000;0.51000
2013;1;8;14;0;-7.90000;93.00000;0.00000;0.51000
2013;1;8;14;30;-8.10000;93.00000;0.00000;0.51000
2013;1;8;15;0;-8.40000;93.00000;0.00000;0.51000
2013;1;8;15;30;-8.70000;93.00000;0.00000;0.51000
2013;1;8;16;0;-8.80000;93.00000;0.00000;0.51000
2013;1;8;16;30;-8.50000;93.00000;0.00000;0.51000
2013;1;8;17;0;-8.10000;93.00000;0.00000;0.51000
2013;1;8;17;30;-7.20000;94.00000;0.00000;0.51000
2013;1;8;18;0;-7.00000;94.00000;0.00000;0.51000
2013;1;8;18;30;-7.90000;93.00000;0.00000;0.51000
2013;1;8;19;0;-7.80000;93.00000;0.00000;0.51000
2013;1;8;19;30;-7.80000;93.00000;0.00000;0.51000
2013;1;8;20;0;-8.10000;92.00000;0.00000;0.50000
2013;1;8;20;30;-8.40000;92.00000;0.00000;0.51000
2013;1;8;21;0;-8.50000;92.00000;0.00000;0.51000
2013;1;8;21;30;-8.60000;92.00000;0.00000;0.50000
2013;1;8;22;0;-8.40000;92.00000;0.00000;0.48000
2013;1;8;22;30;-8.40000;92.00000;0.00000;0.50000
2013;1;8;23;0;-8.70000;92.00000;0.00000;0.51000
2013;1;8;23;30;-8.90000;92.00000;0.00000;0.51000
2013;1;9;0;0;-9.00000;92.00000;0.00000;0.51000
2013;1;9;0;30;-9.00000;92.00000;0.00000;0.49000
2013;1;9;1;0;-9.00000;92.00000;0.65000;0.49000
2013;1;9;1;30;-9.00000;92.00000;0.00000;0.51000
2013;1;9;2;0;-9.00000;92.00000;0.15000;0.51000
2013;1;9;2;30;-9.20000;92.00000;0.00000;0.50000
2013;1;9;3;0;-9.30000;92.00000;0.00000;0.50000
2013;1;9;3;30;-9.30000;91.00000;0.00000;0.49000
2013;1;9;4;0;-9.60000;91.00000;0.00000;0.50000
2013;1;9;4;30;-9.80000;91.00000;0.00000;0.50000
2013;1;9;5;0;-10.00000;91.00000;0.00000;0.51000
2013;1;9;5;30;-10.10000;91.00000;0.00000;0.53000
2013;1;9;6;0;-10.30000;90.00000;0.00000;0.53000
2013;1;9;6;30;-10.70000;90.00000;0.00000;0.52000
2013;1;9;7;0;-11.00000;91.00000;0.00000;0.52000
2013;1;9;7;30;-11.10000;91.00000;0.00000;0.52000
2013;1;9;8;0;-10.60000;91.00000;0.00000;0.52000
2013;1;9;8;30;-10.90000;91.00000;0.00000;0.52000
2013;1;9;9;0;-10.30000;92.00000;0.00000;0.52000
2013;1;9;9;30;-10.00000;92.00000;0.00000;0.52000
2013;1;9;10;0;-9.80000;92.00000;0.00000;0.52000
2013;1;9;10;30;-9.70000;92.00000;0.00000;0.52000
2013;1;9;11;0;-9.70000;92.00000;0.00000;0.52000
